,English Words,Haitian Word,Effect Size,P-Value
0,sanitation,sanitasyon,0.27,0.1696569677664186
1,clean,pwòp,-0.05,0.5657550382406653
2,toilet,twalèt,0.31,0.13401934191059062
3,hands,men,0.05,0.42462070396658447
4,water,dlo,-0.04,0.5542243399745705
5,hygiene,ijyèn,0.33,0.12981800410012778
6,covid,covid,-0.12,0.6582164329170408
7,vaccine,vaksen,0.05,0.43320730811589836
8,water,dlo,-0.18,0.7383964630447454
9,cholera,kolera,-0.35,0.8899109035504514
10,diarrhea,dyare,-0.15,0.6959453706150416
11,fever,lafyèv,-0.13,0.6822510264498578
12,typhoid,tifoyid,0.18,0.262229562274802
13,garbage,fatra,-0.31,0.8608952550516982
14,osmosis,osmoz,-0.23,0.7947601412880154
15,filter,filtre,0.29,0.14673805694111608
16,bottled,nan boutèy,-0.08,0.625775374105618
17,wells,pwi,0.19,0.25000665265801303
18,fresh,fre,0.13,0.33557323830679875
19,pump,ponp,0.19,0.2418602980698692
20,springs,sous dlo,0.39,0.08525025280872045
21,latrine,latrin,-0.42,0.9270340510725436
22,DINEPA,DINEPA,0.47,0.04817929837206636
23,CAEPA,CAEPA,0.36,0.09520266071650474
24,maintenance,antretyen,0.1,0.3593382733189483
25,treatment,tretman,-0.45,0.947201220882848
26,fecal,fekal,-0.13,0.6692137487907861
27,sludge,depo,0.1,0.37034756810517644
28,dirty,sal,-0.14,0.6882710819154265
29,malaria,malarya,-0.16,0.7094940669964596
30,feces,poupou,-0.3,0.8577984514708781
